path,label,generator
FaceSwap/FaceSwap_1201.jpg,0,faceswap
DALL-E/DALL-E_0544.jpg,0,dall-e
DALL-E/DALL-E_0880.jpg,0,dall-e
FaceSwap/FaceSwap_1061.jpg,0,faceswap
Real/REAL_4578.jpg,1,real
Face2Face/Face2Face_0661.jpg,0,face2face
DALL-E/DALL-E_1564.jpg,0,dall-e
Real/REAL_0137.jpg,1,real
DALL-E/DALL-E_1856.jpg,0,dall-e
Real/REAL_3421.jpg,1,real
DeepFaceLab/DeepFaceLab_0425.png,0,deepfacelab
Real/REAL_3458.jpg,1,real
FaceShifter/FaceShifter_0411.jpg,0,faceshifter
StyleGAN/StyleGAN_382.png,0,stylegan
Stable Diffusion/Stable_Diffusion_609.jpg,0,stable diffusion
DALL-E/DALL-E_1741.jpg,0,dall-e
StyleGAN/StyleGAN_376.png,0,stylegan
Face2Face/Face2Face_0099.jpg,0,face2face
Stable Diffusion/Stable_Diffusion_1861.jpg,0,stable diffusion
NeuralTextures/NeuralTextures_389.jpg,0,neuraltextures
Real/REAL_2883.jpg,1,real
Real/REAL_5434.jpg,1,real
DeepFaceLab/DeepFaceLab_0276.png,0,deepfacelab
Real/REAL_2603.jpg,1,real
Real/REAL_2370.jpg,1,real
Face2Face/Face2Face_0862.jpg,0,face2face
Real/REAL_2168.jpg,1,real
FaceShifter/FaceShifter_0870.jpg,0,faceshifter
FaceSwap/FaceSwap_691.jpg,0,faceswap
DALL-E/DALL-E_0258.jpg,0,dall-e
FaceSwap/FaceSwap_1585.jpg,0,faceswap
DeepFaceLab/DeepFaceLab_1569.png,0,deepfacelab
Real/REAL_2152.jpg,1,real
Real/REAL_5749.jpg,1,real
StyleGAN/StyleGAN_65.png,0,stylegan
FaceShifter/FaceShifter_0607.jpg,0,faceshifter
FaceShifter/FaceShifter_0165.jpg,0,faceshifter
DALL-E/DALL-E_0088.jpg,0,dall-e
DALL-E/DALL-E_0927.jpg,0,dall-e
FaceShifter/FaceShifter_0447.jpg,0,faceshifter
FaceSwap/FaceSwap_801.jpg,0,faceswap
Stable Diffusion/Stable_Diffusion_1486.jpg,0,stable diffusion
Stable Diffusion/Stable_Diffusion_1759.jpg,0,stable diffusion
Real/REAL_0696.jpg,1,real
Real/REAL_2133.jpg,1,real
FaceSwap/FaceSwap_14.jpg,0,faceswap
Real/REAL_2050.jpg,1,real
Real/REAL_5671.jpg,1,real
FaceSwap/FaceSwap_998.jpg,0,faceswap
Stable Diffusion/Stable_Diffusion_155.jpg,0,stable diffusion
DeepFaceLab/DeepFaceLab_1266.png,0,deepfacelab
Stable Diffusion/Stable_Diffusion_736.jpg,0,stable diffusion
Face2Face/Face2Face_0786.jpg,0,face2face
DeepFaceLab/DeepFaceLab_1423.jpg,0,deepfacelab
StyleGAN/StyleGAN_255.png,0,stylegan
Real/REAL_4561.jpg,1,real
FaceSwap/FaceSwap_24.jpg,0,faceswap
FaceShifter/FaceShifter_0072.jpg,0,faceshifter
Face2Face/Face2Face_0762.jpg,0,face2face
NeuralTextures/NeuralTextures_164.jpg,0,neuraltextures
FaceShifter/FaceShifter_0899.jpg,0,faceshifter
Real/REAL_3133.jpg,1,real
Stable Diffusion/Stable_Diffusion_1753.jpg,0,stable diffusion
DeepFaceLab/DeepFaceLab_1156.png,0,deepfacelab
Real/REAL_5200.jpg,1,real
Real/REAL_0101.jpg,1,real
Real/REAL_4020.jpg,1,real
Real/REAL_2204.jpg,1,real
Stable Diffusion/Stable_Diffusion_282.jpg,0,stable diffusion
Stable Diffusion/Stable_Diffusion_2015.jpg,0,stable diffusion
Face2Face/Face2Face_0289.jpg,0,face2face
FaceShifter/FaceShifter_0993.jpg,0,faceshifter
Stable Diffusion/Stable_Diffusion_409.jpg,0,stable diffusion
FaceSwap/FaceSwap_749.jpg,0,faceswap
Stable Diffusion/Stable_Diffusion_1794.jpg,0,stable diffusion
Face2Face/Face2Face_0502.jpg,0,face2face
DeepFaceLab/DeepFaceLab_0653.png,0,deepfacelab
Face2Face/Face2Face_0459.jpg,0,face2face
Face2Face/Face2Face_0653.jpg,0,face2face
Real/REAL_5488.jpg,1,real
Real/REAL_2930.jpg,1,real
Stable Diffusion/Stable_Diffusion_295.jpg,0,stable diffusion
Real/REAL_5011.jpg,1,real
Real/REAL_5502.jpg,1,real
DeepFaceLab/DeepFaceLab_1195.png,0,deepfacelab
DeepFaceLab/DeepFaceLab_0132.png,0,deepfacelab
FaceSwap/FaceSwap_1329.jpg,0,faceswap
Real/REAL_4629.jpg,1,real
DALL-E/DALL-E_0223.jpg,0,dall-e
Real/REAL_1318.jpg,1,real
Real/REAL_5704.jpg,1,real
StyleGAN/StyleGAN_112.png,0,stylegan
Real/REAL_5862.jpg,1,real
DeepFaceLab/DeepFaceLab_0468.png,0,deepfacelab
DeepFaceLab/DeepFaceLab_0260.png,0,deepfacelab
Midjourney/Midjourney_0264.png,0,midjourney
